height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
10000,0.10327816009521484,30742.22078581652,19992,0,94.9375,6.3,193574.3
80000,0.9192719459533691,29514.930649467675,159998,0,121.75,5.9,175145.9
90000,1.1188769340515137,17484.5329931534,179998,0,125.6171875,5.7,100189.2
110000,1.4622852802276611,19900.506426522832,219998,0,133.3515625,5.7,114403.6
130000,1.8440430164337158,18090.00668495286,259994,0,141.0859375,5.8,105369.7
140000,2.1240181922912598,12479.677847502471,279998,0,144.953125,5.7,71443.0
170000,2.684912919998169,18244.06523098425,340000,41865705,159.6875,5.9,107604.0
180000,3.011145830154419,10256.475958840037,360000,43096755,164.328125,6.0,61306.0
200000,3.6102492809295654,11265.166293513827,399996,43096755,171.01953125,5.8,65897.4
240000,6.83603835105896,4113.412164133765,527945,83501695,204.6640625,26.9,110750.6
270000,9.212245464324951,4183.557882854974,680718,83501695,209.5625,30.1,125995.9
300000,13.564696550369263,2310.19253317753,1079253,324399714,215.44921875,61.6,142311.7
400000,25.893115043640137,2806.4426932688007,2214984,522156769,237.6640625,54.0,151686.0
430000,30.68270993232727,2226.284320034176,2525772,415604406,237.6640625,35.5,79011.5
490000,40.15690851211548,2262.8826933960318,3217070,558132565,237.6640625,58.0,131147.6
570000,61.67801904678345,1331.8085957427197,4878846,930229305,237.6640625,127.3,169478.2
610000,74.93542528152466,1081.0561090330627,6002781,1281816393,280.76171875,112.6,121733.7
620000,80.71258687973022,629.3748129062845,6311162,1399997831,280.76171875,114.6,72156.1
640000,90.32199931144714,749.1613094093985,6968954,1428461005,280.76171875,124.0,92861.8
650000,97.09049439430237,532.1714732605717,7315505,1315149863,280.76171875,133.9,71283.4
670000,106.88812613487244,729.8702573591446,7937059,1426034550,280.76171875,119.9,87502.2
680000,114.16549777984619,496.195628883953,8289596,1868879353,280.76171875,129.5,64260.6
720000,138.74807453155518,583.7467790679179,9860454,1766675886,280.76171875,147.0,85785.3
730000,147.99787044525146,389.522107689424,10271585,2124687100,280.76171875,155.7,60634.9
770000,177.36224675178528,491.7523140713526,12057767,2218550901,280.76171875,190.1,93471.1
820000,213.59385061264038,496.63824072223457,14298943,2897893848,288.49609375,198.0,98359.0
840000,233.90548539161682,355.7566920944872,15245760,2874970862,288.49609375,216.7,77100.3
850000,243.83147025108337,360.3672633641552,15646859,3062040971,288.49609375,158.7,57179.4
860000,254.6606104373932,339.9161832491111,16050288,2962650435,288.49609375,160.5,54547.1
880000,271.38048815727234,432.4194304007301,16830468,3074226281,288.49609375,148.8,64326.5
890000,281.905161857605,342.43341908890653,17231792,3131970259,288.49609375,154.6,52928.9
980000,346.765704870224,498.993663893674,21248533,4727281684,307.51953125,156.7,78193.2
990000,362.5706043243408,229.48580030702112,21675711,4099510860,307.51953125,167.3,38399.1
